# TIMESTAMP, CAN_ID, DATA_BYTES
  0.1778, 186, 14 04 02 26 81 F7 00 00
  0.1778, 204, C0 00 7D 00 00 00 00 00
  0.1778, 167, 00 80 00 00 00 1A 7F 00
  0.1778, 171, A5 00 A0 00 00 00 00 00
  0.1779, 42F, 00 00 00 00 00 00 00 00
  0.1780, 4B0, C9 00 00 00 60 00 00 F9
  0.1781, 077, 00 00 07 FF 00 07 E9 FA
  0.1781, 3B4, 40 11 11 FF 37 37 00 00
  0.1781, 07D, 00 00 F9 60 00 1F F7 FD
  0.1781, 3EB, BA 14 14 07 02 1A 02 40
  0.1781, 42C, 80 02 00 00 90 20 00 00
  0.1781, 213, FF FF 00 0C 01 11 FF 41
  0.1782, 082, 84 00 14 40 7B 00 60 FF
  0.1782, 085, 7E B9 00 00 F5 D0 7E 48
  0.1782, 214, 6F 66 00 00 00 00 24 60
  0.1782, 216, 96 E0 55 E5 AA 00 00 00
  0.1782, 217, 00 00 00 00 00 00 00 00
  0.1782, 3E2, 00 00 00 00 80 00 00 00
  0.1782, 3EA, 00 00 00 00 00 00 60 00
  0.1783, 455, 00 00 00 00 00 00 00 00
  0.1783, 165, 10 C0 00 00 00 00 00 00
  0.1833, 047, 04 F0 ED F5 64 AF 00 00
  0.1834, 156, 91 00 00 00 03 00 00 00
  0.1834, 166, 7D 00 00 02 80 00 00 00
  0.1834, 167, 00 80 00 00 00 1A 7F 00
  0.1834, 178, 00 00 02 00 0E 8A CA 8A
  0.1834, 179, 00 00 00 00 5C A3 03 C4
  0.1835, 200, 00 00 80 1A 80 1A 00 00
  0.1835, 202, 04 ED 78 00 60 00 00 00
  0.1835, 204, C0 00 7D 00 00 00 00 00
  0.1835, 230, 00 00 00 00 8A 00 00 00
  0.1835, 415, 00 00 DC F5 8F FE 0F FE
  0.1835, 421, 04 00 14 00 00 00 61 00
  0.1835, 041, 00 00 00 00 00 00 00 00
  0.1924, 085, 7E B9 00 00 F4 E0 7E 48
  0.1926, 3B5, 01 6E 01 6C 01 67 01 6F
  0.1926, 217, 00 00 00 00 00 00 00 00
  0.1927, 424, 00 00 00 01 00 00 00 00
  0.1927, 333, 00 1C 00 00 00 00 00 00
  0.1927, 41D, 00 00 E0 00 00 00 00 00
  0.1927, 42D, 00 02 EA 00 00 00 20 00
  0.1928, 43D, 10 00 00 00 00 00 00 00
  0.1928, 326, 01 A0 02 79 81 D0 00 00
  0.1928, 186, 14 04 02 26 81 F7 00 00
  0.1928, 43E, 00 37 10 8C 91 40 48 00
  0.1928, 3D4, FF C1 FE FF DF E0 00 00
  0.1928, 091, 7E F7 7F 47 8A 34 F0 00
  0.1946, 204, C0 00 7D 00 00 00 00 00
  0.1947, 167, 00 80 00 00 00 1A 7F 00
  0.1947, 4B0, C9 00 00 00 70 00 00 F8
  0.1947, 332, 10 A5 71 89 7A 00 00 00
  0.1947, 077, 00 00 08 00 00 07 E9 FA
  0.1948, 07D, 00 00 F8 70 00 20 07 FF
  0.1993, 213, FF FF 00 0C 01 11 FF 41
  0.1994, 082, 84 00 14 40 7B 00 60 FF
  0.1994, 085, 7E B9 00 00 F3 F0 7E 48
  0.1994, 214, 6F 66 00 00 00 00 23 70
  0.1994, 216, 96 E0 55 E5 AA 00 00 00
  0.1994, 217, 00 00 00 00 00 00 00 00
  0.1995, 165, 10 C0 00 00 00 00 00 00
  0.1995, 047, 04 F0 ED F5 64 AF 00 00
  0.1995, 167, 00 80 00 00 00 1A 7F 00
  0.1995, 171, A5 00 A0 00 00 00 00 00
  0.1995, 200, 00 00 80 1A 80 1A 00 00
  0.1996, 202, 04 FB 08 00 60 00 00 00
  0.1996, 204, C0 00 7D 00 00 00 00 00
  0.2121, 230, 00 00 00 00 8A 00 00 00
  0.2122, 42F, 00 00 00 00 00 00 00 00
  0.2122, 217, 00 00 00 00 00 00 00 00
  0.2122, 041, 00 00 00 00 00 00 00 00
  0.2122, 242, 02 8B 1F 72 C3 00 00 01
  0.2122, 085, 7E B9 00 00 02 00 7E 48
  0.2122, 3C7, 00 00 40 00 00 00 00 00
  0.2122, 415, 00 00 E0 F4 8F FE 0F FE
  0.2122, 41D, 00 00 E0 00 00 00 00 00
  0.2123, 186, 14 04 02 26 81 F7 00 00
  0.2123, 204, C0 00 7D 00 00 00 00 00
  0.2123, 167, 00 80 00 00 00 1A 7F 00
  0.2129, 4B0, C9 00 00 00 80 00 00 F7
  0.2129, 077, 00 00 07 FD 00 07 E5 FA
  0.2129, 07D, 00 00 F7 80 00 20 07 FE
  0.2129, 213, FF FF 00 0C 01 11 FF 41
  0.2129, 082, 84 00 14 40 7B 00 60 FF
  0.2130, 091, 7E EE 7F 47 84 43 F0 00
  0.2130, 085, 7E B9 00 00 01 10 7E 48
  0.2130, 214, 6F 66 00 00 00 00 22 80
  0.2130, 216, 96 E0 55 E5 AA 00 00 00
  0.2130, 217, 00 00 00 00 00 00 00 00
  0.2130, 3D4, FF C1 FE FF DF E0 00 00
  0.2164, 263, D0 00 FF FD 01 E8 00 00
  0.2165, 37B, 00 00 00 00 00 00 00 00
  0.2166, 430, 03 02 F3 09 8C 01 33 91
  0.2166, 165, 10 C0 00 00 00 00 00 00
  0.2166, 047, 04 F0 ED F5 64 AF 00 00
  0.2166, 167, 00 80 00 00 00 1A 7F 00
  0.2166, 200, 00 00 80 1A 80 1A 00 00
  0.2166, 202, 04 F9 18 00 60 00 00 00
  0.2167, 204, C0 00 7D 00 00 00 00 00
  0.2167, 230, 00 00 00 00 8A 00 00 00
  0.2167, 217, 00 00 00 00 00 00 00 00
  0.2269, 415, 00 00 E4 F3 8F FE 0F FE
