# TIMESTAMP, CAN_ID, DATA_BYTES
  0.1564, 200, 00 00 80 1A 80 1A 00 00
  0.1564, 202, 04 F1 58 00 60 00 00 00
  0.1564, 204, C0 00 7D 00 00 00 00 00
  0.1564, 217, 00 00 00 00 00 00 00 00
  0.1564, 085, 7E B9 00 00 F8 A0 7E 48
  0.1606, 230, 00 00 00 00 8B 00 00 00
  0.1607, 415, 00 00 D4 F7 8F FE 0F FE
  0.1607, 42F, 00 00 00 00 00 00 00 00
  0.1607, 41D, 00 00 E0 00 00 00 00 00
  0.1607, 041, 00 00 00 00 00 00 00 00
  0.1607, 186, 14 04 02 26 81 F7 00 00
  0.1607, 092, 6F 8E 6F 82 73 54 44 1D
  0.1663, 204, C0 00 7D 00 00 00 00 00
  0.1663, 167, 00 80 00 00 00 1A 7F 00
  0.1663, 077, 00 00 07 FF 00 07 E5 F9
  0.1664, 07D, 00 00 FA 50 00 1F E8 03
  0.1664, 213, FF FF 00 0C 01 11 FF 41
  0.1664, 214, 6F 66 00 00 00 00 25 50
  0.1664, 082, 8E 00 14 40 7B 00 60 FF
  0.1664, 085, 7E B8 00 00 F8 B0 7E 48
  0.1664, 216, 96 E0 55 E5 AA 00 00 00
  0.1664, 217, 00 00 00 00 00 00 00 00
  0.1695, 4B0, C9 00 00 00 50 00 00 FA
  0.1695, 3D4, FF C1 FE FF DF E0 00 00
  0.1696, 091, 7F 05 7F 41 93 22 F0 00
  0.1715, 333, 00 1C 00 00 00 00 00 00
  0.1719, 165, 10 C0 00 00 00 00 00 00
  0.1719, 047, 04 F0 ED F5 64 AF 00 00
  0.1719, 167, 00 80 00 00 00 1A 7F 00
  0.1719, 200, 00 00 80 1A 80 1A 00 00
  0.1789, 202, 04 EF 68 00 60 00 00 00
  0.1790, 204, C0 00 7D 00 00 00 00 00
  0.1790, 230, 00 00 00 00 8B 00 00 00
  0.1790, 415, 00 00 D8 F6 8F FE 0F FE
  0.1790, 085, 7E B8 00 00 F7 C0 7E 48
  0.1790, 217, 00 00 00 00 00 00 00 00
  0.1791, 41D, 00 00 E0 00 00 00 00 00
  0.1791, 041, 00 00 00 00 00 00 00 00
  0.1792, 186, 14 04 02 26 81 F7 00 00
  0.1792, 242, 02 77 1F 71 C3 00 00 01
  0.1792, 3A3, 80 00 00 00 00 00 00 00
  0.1792, 204, C0 00 7D 00 00 00 00 00
